borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Barnet,2023-11-01,2023,11,2484.0,398191,6.238212315195471,10795,27.110105451906247,4577.02267274036,15.953625592417062
Barnet,2023-12-01,2023,12,2351.0,398191,5.904201752425344,10930,27.449138729905997,4577.02267274036,15.953625592417062
Barnet,2024-01-01,2024,1,2345.0,405050,5.78940871497346,11035,27.243550178990247,4577.02267274036,15.953625592417062
Barnet,2024-02-01,2024,2,2299.0,405050,5.675842488581656,11360,28.045920256758425,4577.02267274036,15.953625592417062
Barnet,2024-03-01,2024,3,2303.0,405050,5.685717812615726,11265,27.811381310949265,4577.02267274036,15.953625592417062
Barnet,2024-04-01,2024,4,2275.0,405050,5.616590544377237,11110,27.428712504629058,4577.02267274036,15.953625592417062
Barnet,2024-05-01,2024,5,2439.0,405050,6.021478829774102,11430,28.218738427354648,4577.02267274036,15.953625592417062
Barnet,2024-06-01,2024,6,2342.0,405050,5.7820022219479075,11795,29.119861745463524,4577.02267274036,15.953625592417062
Barnet,2024-07-01,2024,7,2505.0,405050,6.184421676336255,13545,33.440316010369095,4577.02267274036,15.953625592417062
Barnet,2024-08-01,2024,8,2279.0,405050,5.626465868411307,13190,32.56388100234539,4577.02267274036,15.953625592417062
Barnet,2024-09-01,2024,9,2377.0,405050,5.868411307246019,13260,32.73669917294161,4577.02267274036,15.953625592417062
Barnet,2024-10-01,2024,10,2489.0,405050,6.144920380199975,13485,33.29218614985805,4577.02267274036,15.953625592417062
Barnet,2024-11-01,2024,11,2494.0,405050,6.157264535242563,13105,32.35403036662141,4577.02267274036,15.953625592417062
Barnet,2024-12-01,2024,12,2221.0,405050,5.483273669917294,13060,32.24293297123812,4577.02267274036,15.953625592417062
Bexley,2019-01-01,2019,1,1526.0,246622,6.1876069450413995,2175,8.81916455141877,4126.712501750559,15.88236301369863
Bexley,2019-02-01,2019,2,1342.0,246622,5.441525897932869,2410,9.772039801801947,4126.712501750559,15.88236301369863
Bexley,2019-03-01,2019,3,1430.0,246622,5.798347268289122,2595,10.522175637209982,4126.712501750559,15.88236301369863
Bexley,2019-04-01,2019,4,1473.0,246622,5.972703165167747,2640,10.70464111068761,4126.712501750559,15.88236301369863
Bexley,2019-05-01,2019,5,1581.0,246622,6.410620301514058,2710,10.988476291652814,4126.712501750559,15.88236301369863
Bexley,2019-06-01,2019,6,1454.0,246622,5.895662187477192,2830,11.47505088759316,4126.712501750559,15.88236301369863
Bexley,2019-07-01,2019,7,1507.0,246622,6.110565967350844,2950,11.961625483533505,4126.712501750559,15.88236301369863
Bexley,2019-08-01,2019,8,1505.0,246622,6.102456390751839,3020,12.245460664498706,4126.712501750559,15.88236301369863
Bexley,2019-09-01,2019,9,1463.0,246622,5.932155282172718,3095,12.549569786961424,4126.712501750559,15.88236301369863
Bexley,2019-10-01,2019,10,1643.0,246622,6.6620171760832365,3150,12.772583143434082,4126.712501750559,15.88236301369863
Bexley,2019-11-01,2019,11,1511.0,246622,6.126785120548856,3205,12.995596499906739,4126.712501750559,15.88236301369863
Bexley,2019-12-01,2019,12,1396.0,246622,5.660484466106025,3250,13.17806197338437,4126.712501750559,15.88236301369863
Bexley,2020-01-01,2020,1,1620.0,246924,6.560723137483598,3205,12.979702256564773,4126.712501750559,15.88236301369863
Bexley,2020-02-01,2020,2,1449.0,246924,5.868202361860329,3400,13.769418930521132,4126.712501750559,15.88236301369863
Bexley,2020-03-01,2020,3,1015.0,246924,4.1105765336702795,3440,13.931412094409616,4126.712501750559,15.88236301369863
Bexley,2020-04-01,2020,4,916.0,246924,3.709643453046281,6410,25.959404513129545,4126.712501750559,15.88236301369863
Bexley,2020-05-01,2020,5,1223.0,246924,4.952940985890396,9155,37.07618538497675,4126.712501750559,15.88236301369863
Bexley,2020-06-01,2020,6,1192.0,246924,4.827396283876821,8605,34.8487793815101,4126.712501750559,15.88236301369863
Bexley,2020-07-01,2020,7,1327.0,246924,5.374123212000454,8855,35.86123665581312,4126.712501750559,15.88236301369863
Bexley,2020-08-01,2020,8,1426.0,246924,5.775056292624451,9060,36.6914516207416,4126.712501750559,15.88236301369863
Bexley,2020-09-01,2020,9,1292.0,246924,5.232379193598031,8950,36.24597042004827,4126.712501750559,15.88236301369863
Bexley,2020-10-01,2020,10,1292.0,246924,5.232379193598031,8600,34.82853023602404,4126.712501750559,15.88236301369863
Bexley,2020-11-01,2020,11,1328.0,246924,5.378173041097666,8825,35.73974178289676,4126.712501750559,15.88236301369863
Bexley,2020-12-01,2020,12,1187.0,246924,4.80714713839076,8915,36.10422640164585,4126.712501750559,15.88236301369863
Bexley,2021-01-01,2021,1,1072.0,246637,4.346468696910845,8645,35.051512952233445,4126.712501750559,15.88236301369863
Bexley,2021-02-01,2021,2,1010.0,246637,4.095087111828315,9110,36.936874840352424,4126.712501750559,15.88236301369863
Bexley,2021-03-01,2021,3,1235.0,246637,5.007358993176206,9150,37.0990565081476,4126.712501750559,15.88236301369863
Bexley,2021-04-01,2021,4,1150.0,246637,4.662722949111447,8995,36.470602545441274,4126.712501750559,15.88236301369863
Bexley,2021-05-01,2021,5,1206.0,246637,4.8897772840247,8330,33.774332318346396,4126.712501750559,15.88236301369863
Bexley,2021-06-01,2021,6,1242.0,246637,5.035740785040363,7620,30.895607714981935,4126.712501750559,15.88236301369863
Bexley,2021-07-01,2021,7,1267.0,246637,5.1371043274123505,7470,30.28742646075001,4126.712501750559,15.88236301369863
Bexley,2021-08-01,2021,8,1249.0,246637,5.06412257690452,7120,28.86833686754218,4126.712501750559,15.88236301369863
Bexley,2021-09-01,2021,9,1273.0,246637,5.161431577581627,6585,26.699157060781634,4126.712501750559,15.88236301369863
Bexley,2021-10-01,2021,10,1342.0,246637,5.4411949545283145,6215,25.198976633676214,4126.712501750559,15.88236301369863
Bexley,2021-11-01,2021,11,1410.0,246637,5.7169037897801225,5820,23.597432664198802,4126.712501750559,15.88236301369863
Bexley,2021-12-01,2021,12,1302.0,246637,5.279013286733134,5570,22.583797240478923,4126.712501750559,15.88236301369863
Bexley,2022-01-01,2022,1,1266.0,247875,5.107413010590015,5285,21.321230458900658,4126.712501750559,15.88236301369863
Bexley,2022-02-01,2022,2,1287.0,247875,5.192133131618759,5245,21.159858799798286,4126.712501750559,15.88236301369863
Bexley,2022-03-01,2022,3,1383.0,247875,5.579425113464448,5100,20.574886535552192,4126.712501750559,15.88236301369863
Bexley,2022-04-01,2022,4,1244.0,247875,5.018658598083712,4870,19.646999495713565,4126.712501750559,15.88236301369863
Bexley,2022-05-01,2022,5,1346.0,247875,5.430156328794755,4730,19.082198688855268,4126.712501750559,15.88236301369863
Bexley,2022-06-01,2022,6,1373.0,247875,5.539082198688855,4715,19.021684316691882,4126.712501750559,15.88236301369863
Bexley,2022-07-01,2022,7,1245.0,247875,5.022692889561271,4615,18.618255168935956,4126.712501750559,15.88236301369863
